" ","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12"
"01969",57,0,0,0,0,0
"01970",292,42,122,0,13,0
"01982",142,0,17,0,4,0
"01983",89,0,0,0,0,0
"01984",114,0,0,0,0,0
"01985",88,0,0,0,0,0
"02019",201,0,1,0,0,0
"02021",217,0,69,0,42,0
"02025",160,0,0,0,0,0
"02026",303,64,25,0,10,0
"02030",116,0,10,0,0,0
"02032",39,0,0,0,0,0
"02035",157,9,0,0,0,0
"02038",352,0,0,0,5,0
"02043",250,16,1,16,0,0
"02045",47,0,0,0,0,0
"02047",0,0,0,0,0,0
"02048",561,30,1,0,0,0
"02050",383,6,3,0,0,0
"02052",132,0,0,0,9,0
"02053",174,0,0,0,0,0
"02054",194,0,0,0,0,0
"02056",191,0,0,0,0,0
"02061",215,0,0,0,0,0
"02062",221,33,152,0,0,0
"02066",192,11,0,0,0,0
"02067",176,15,31,0,17,0
"02071",122,1,0,0,0,0
"02072",273,0,127,0,17,0
"02081",234,2,0,0,0,0
"02090",194,0,0,0,0,0
"02093",117,16,0,0,0,0
"02108",10,0,0,0,0,0
"02109",15,10,0,0,0,0
"02110",0,0,0,0,0,0
"02111",1,0,15,0,0,0
"02113",0,0,0,0,0,0
"02114",4,0,0,0,0,0
"02115",0,39,13,0,21,0
"02116",0,0,0,0,0,0
"02118",0,82,55,0,50,0
"02119",0,188,285,0,1,0
"02120",0,88,37,0,1,0
"02121",0,141,449,0,0,0
"02122",89,53,353,0,6,0
"02124",43,215,687,14,20,0
"02125",55,142,191,0,58,0
"02126",0,40,531,0,0,0
"02127",81,33,90,0,42,0
"02128",103,325,86,34,0,0
"02129",75,40,22,0,16,0
"02130",67,140,88,0,11,0
"02131",24,268,224,13,0,0
"02132",183,108,7,0,15,0
"02134",33,7,0,0,29,0
"02135",93,50,15,0,77,0
"02136",49,325,354,0,5,0
