"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"330","ITT Technical Institute (Tampa, FL)","33634","Florida","Hillsborough",243,44,2,12,53,132,"Hillsborough, Florida"
"331","St Petersburg Junior College","33733","Florida","Pinellas",2177,238,10,73,138,1718,"Pinellas, Florida"
"332","Eckerd College","33733","Florida","Pinellas",679,15,5,8,27,624,"Pinellas, Florida"
"333","Florida Southern College","33801","Florida","Polk",425,30,4,15,27,349,"Polk, Florida"
"334","Warner Southern College","33853","Florida","Polk",80,19,1,4,20,36,"Polk, Florida"
"335","Edison Community College","33906","Florida","Lee",227,49,1,5,22,150,"Lee, Florida"
"336","University of Montevallo","35115","Alabama","Shelby",246,29,1,4,4,208,"Shelby, Alabama"
"337","Samford University","35229","Alabama","Jefferson",733,47,1,13,13,659,"Jefferson, Alabama"
"338","Birmingham Southern College","35254","Alabama","Jefferson",329,19,4,15,7,284,"Jefferson, Alabama"
"339","University of Alabama at Birmingham","35294","Alabama","Jefferson",3580,796,12,261,68,2443,"Jefferson, Alabama"
"340","University of Alabama","35487","Alabama","Tuscaloosa",4777,451,26,67,103,4130,"Tuscaloosa, Alabama"
"341","Athens State College","35611","Alabama","Limestone",435,23,7,5,6,394,"Limestone, Alabama"
"342","University of North Alabama","35632","Alabama","Lauderdale",1055,89,17,9,15,925,"Lauderdale, Alabama"
"343","Alabama Agricultural and Mechanical University","35762","Alabama","Madison",1165,1125,1,3,6,30,"Madison, Alabama"
"344","University of Alabama in Huntsville","35899","Alabama","Madison",2758,304,50,97,59,2248,"Madison, Alabama"
"345","Troy State University, Main Campus","36082","Alabama","Pike",1552,347,16,35,41,1113,"Pike, Alabama"
"346","Draughons Junior College","36104","Alabama","Montgomery",101,71,1,3,2,24,"Montgomery, Alabama"
"347","Auburn University at Montgomery","36117","Alabama","Montgomery",767,157,4,33,10,563,"Montgomery, Alabama"
"348","Jacksonville State University","36265","Alabama","Calhoun",1526,273,14,15,14,1210,"Calhoun, Alabama"
"349","Spring Hill College","36608","Alabama","Mobile",256,32,3,4,11,206,"Mobile, Alabama"
"350","University of South Alabama","36688","Alabama","Mobile",3224,412,26,181,89,2516,"Mobile, Alabama"
"351","Auburn University, Main Campus","36849","Alabama","Lee",6863,424,42,147,102,6148,"Lee, Alabama"
"352","Austin Peay State University","37044","Tennessee","Montgomery",1401,114,12,47,78,1150,"Montgomery, Tennessee"
"353","Cumberland University","37087","Tennessee","Wilson",555,44,3,12,8,488,"Wilson, Tennessee"
"354","Middle Tennessee State University","37132","Tennessee","Rutherford",3057,266,5,133,86,2567,"Rutherford, Tennessee"
"355","David Lipscomb University","37204","Tennessee","Davidson",723,27,3,27,15,651,"Davidson, Tennessee"
"356","Tennessee State University","37209","Tennessee","Davidson",1393,1033,4,47,30,279,"Davidson, Tennessee"
"357","Belmont University","37212","Tennessee","Davidson",1124,44,4,36,26,1014,"Davidson, Tennessee"
"358","Vanderbilt University","37240","Tennessee","Davidson",1928,126,8,257,110,1427,"Davidson, Tennessee"
"359","Tennessee Wesleyan College","37303","Tennessee","McMinn",376,9,1,7,2,357,"McMinn, Tennessee"
"360","Lee College (Cleveland, TN)","37311","Tennessee","Bradley",277,15,3,14,15,230,"Bradley, Tennessee"
"361","Southern College of Seventh-Day Adventists","37315","Tennessee","Hamilton",644,57,4,68,87,428,"Hamilton, Tennessee"
"362","University of the South","37375","Tennessee","Franklin",335,15,3,10,12,295,"Franklin, Tennessee"
"363","University of Tennessee at Chattanooga","37403","Tennessee","Hamilton",2047,175,7,86,19,1760,"Hamilton, Tennessee"
"364","East Tennessee State University","37614","Tennessee","Washington",3411,109,4,95,77,3126,"Washington, Tennessee"
"365","King College","37620","Tennessee","Sullivan",1233,22,9,6,14,1182,"Sullivan, Tennessee"
"366","University of Tennessee at Knoxville","37996","Tennessee","Knox",5815,376,14,209,98,5118,"Knox, Tennessee"
"367","Christian Brothers University","38104","Tennessee","Shelby",411,81,1,40,11,278,"Shelby, Tennessee"
"368","Rhodes College","38112","Tennessee","Shelby",423,26,3,48,15,331,"Shelby, Tennessee"
"369","University of Memphis","38152","Tennessee","Shelby",2435,584,5,140,62,1644,"Shelby, Tennessee"
"370","Bethel College (McKenzie, TN)","38201","Tennessee","Carroll",134,16,1,1,1,115,"Carroll, Tennessee"
"371","University of Tennessee at Martin","38238","Tennessee","Weakley",1407,71,3,14,12,1307,"Weakley, Tennessee"
"372","Union University","38305","Tennessee","Madison",955,129,2,15,7,802,"Madison, Tennessee"
"373","Tennessee Technological University","38505","Tennessee","Putnam",2782,59,9,47,51,2616,"Putnam, Tennessee"
"374","University of Mississippi, Main Campus","38677","Mississippi","Lafayette",2415,297,5,78,29,2006,"Lafayette, Mississippi"
"375","Mississippi College","39058","Mississippi","Hinds",945,184,5,28,9,719,"Hinds, Mississippi"
"376","Belhaven College","39202","Mississippi","Hinds",276,147,1,1,6,121,"Hinds, Mississippi"
"377","University of Mississippi Medical Center","39216","Mississippi","Hinds",1236,249,7,26,12,942,"Hinds, Mississippi"
"378","Jackson State University","39217","Mississippi","Hinds",1128,1048,1,3,8,68,"Hinds, Mississippi"
"379","William Carey College","39401","Mississippi","Forrest",734,213,1,15,15,490,"Forrest, Mississippi"
"380","Mississippi University for Women","39701","Mississippi","Lowndes",1126,286,2,6,7,825,"Lowndes, Mississippi"
"381","Mississippi State University","39762","Mississippi","Oktibbeha",3953,320,7,75,57,3494,"Oktibbeha, Mississippi"
"382","Spalding University","40203","Kentucky","Jefferson",353,49,1,10,5,288,"Jefferson, Kentucky"
"383","Bellarmine College","40205","Kentucky","Jefferson",949,26,4,26,29,864,"Jefferson, Kentucky"
"384","University of Louisville","40292","Kentucky","Jefferson",3135,160,6,171,68,2730,"Jefferson, Kentucky"
"385","Midway College","40347","Kentucky","Woodford",158,13,1,1,1,142,"Woodford, Kentucky"
"386","Morehead State University","40351","Kentucky","Rowan",1377,17,2,14,19,1325,"Rowan, Kentucky"
"387","Berea College","40404","Kentucky","Madison",357,57,3,7,10,280,"Madison, Kentucky"
"388","Eastern Kentucky University","40475","Kentucky","Madison",2172,53,2,22,21,2074,"Madison, Kentucky"
"389","University of Kentucky","40506","Kentucky","Fayette",4796,198,7,167,56,4368,"Fayette, Kentucky"
"390","Transylvania University","40508","Kentucky","Fayette",294,6,1,8,4,275,"Fayette, Kentucky"
"391","Cumberland College","40769","Kentucky","Whitley",286,7,2,5,3,269,"Whitley, Kentucky"
"392","Thomas More College","41017","Kentucky","Kenton",237,5,1,1,3,227,"Kenton, Kentucky"
"393","Northern Kentucky University","41076","Kentucky","Campbell",2060,84,5,37,22,1912,"Campbell, Kentucky"
"394","Murray State University","42071","Kentucky","Calloway",2497,86,8,21,21,2361,"Calloway, Kentucky"
"395","Western Kentucky University","42101","Kentucky","Warren",3429,114,9,48,39,3219,"Warren, Kentucky"
"396","Ohio Wesleyan University","43015","Ohio","Delaware",357,9,1,9,1,337,"Delaware, Ohio"
"397","Kenyon College","43022","Ohio","Knox",274,10,2,20,10,232,"Knox, Ohio"
"398","Denison University","43023","Ohio","Licking",499,26,1,18,8,446,"Licking, Ohio"
"399","Otterbein College","43081","Ohio","Franklin",597,28,2,11,6,550,"Franklin, Ohio"
"400","DeVry Institute of Tech (Columbus, OH)","43209","Ohio","Franklin",768,92,3,21,13,639,"Franklin, Ohio"
"401","Capital University","43209","Ohio","Franklin",745,39,1,11,9,685,"Franklin, Ohio"
"402","Ohio State University, Main Campus","43210","Ohio","Franklin",15056,683,41,1108,379,12845,"Franklin, Ohio"
"403","Franklin University","43215","Ohio","Franklin",995,133,4,28,18,812,"Franklin, Ohio"
"404","Ohio Dominican College","43219","Ohio","Franklin",122,14,2,1,2,103,"Franklin, Ohio"
"405","Mount Carmel College of Nursing","43222","Ohio","Franklin",1167,63,1,29,23,1051,"Franklin, Ohio"
"406","Bowling Green State Univ, All Campuses","43403","Ohio","Wood",2521,186,13,19,71,2232,"Wood, Ohio"
"407","Lourdes College","43560","Ohio","Lucas",537,38,3,3,19,474,"Lucas, Ohio"
"408","University of Toledo","43606","Ohio","Lucas",4923,275,4,180,129,4335,"Lucas, Ohio"
"409","Muskingum College","43762","Ohio","Muskingum",304,5,2,5,4,288,"Muskingum, Ohio"
"410","Franciscan University of Steubenville","43952","Ohio","Jefferson",489,4,4,9,25,447,"Jefferson, Ohio"
"411","Baldwin-Wallace College","44017","Ohio","Cuyahoga",679,23,1,12,15,628,"Cuyahoga, Ohio"
"412","Oberlin College","44074","Ohio","Lorain",798,34,1,69,36,658,"Lorain, Ohio"
"413","Case Western Reserve University","44106","Ohio","Cuyahoga",2443,99,3,509,51,1781,"Cuyahoga, Ohio"
"414","Cleveland State University","44115","Ohio","Cuyahoga",2527,247,6,145,66,2063,"Cuyahoga, Ohio"
"415","Ursuline College","44124","Ohio","Cuyahoga",675,130,1,19,9,516,"Cuyahoga, Ohio"
"416","Kent State University, All Campuses","44242","Ohio","Portage",5125,283,22,148,78,4594,"Portage, Ohio"
"417","University of Akron, All Campuses","44325","Ohio","Summit",4405,180,8,200,51,3966,"Summit, Ohio"
"418","Youngstown State University","44555","Ohio","Mahoning",2232,114,9,95,48,1966,"Mahoning, Ohio"
"419","College of Wooster","44691","Ohio","Wayne",403,14,4,16,6,363,"Wayne, Ohio"
"420","Malone College","44709","Ohio","Stark",679,33,1,4,6,635,"Stark, Ohio"
"421","Walsh University","44720","Ohio","Stark",702,16,4,8,7,667,"Stark, Ohio"
"422","Ashland University","44805","Ohio","Ashland",597,19,5,6,5,562,"Ashland, Ohio"
"423","College of Mount St Joseph","45051","Ohio","Hamilton",493,14,1,1,3,474,"Hamilton, Ohio"
"424","Miami University, All Campuses","45056","Ohio","Butler",3786,99,21,181,78,3407,"Butler, Ohio"
"425","Xavier University","45207","Ohio","Hamilton",677,41,1,34,26,575,"Hamilton, Ohio"
"426","University of Cincinnati, All Campuses","45221","Ohio","Hamilton",7212,505,25,295,138,6249,"Hamilton, Ohio"
"427","Cedarville College","45314","Ohio","Greene",989,8,2,17,22,940,"Greene, Ohio"
"428","Central State University","45384","Ohio","Greene",125,115,1,1,1,7,"Greene, Ohio"
"429","Wilberforce University","45384","Ohio","Greene",162,150,4,1,2,5,"Greene, Ohio"
"430","Wright State University, All Campuses","45435","Ohio","Greene",3236,253,16,152,73,2742,"Greene, Ohio"
"431","University of Dayton","45469","Ohio","Montgomery",2191,56,3,41,35,2056,"Montgomery, Ohio"
"432","Wittenberg University","45501","Ohio","Clark",380,7,1,10,2,360,"Clark, Ohio"
"433","Ohio University, All Campuses","45701","Ohio","Athens",8280,401,34,82,123,7640,"Athens, Ohio"
"434","Marietta College","45750","Ohio","Washington",383,8,3,9,9,354,"Washington, Ohio"
"435","Ohio Northern University","45810","Ohio","Hardin",1063,24,1,9,15,1014,"Hardin, Ohio"
"436","University of Findlay","45840","Ohio","Hancock",968,11,2,5,15,935,"Hancock, Ohio"
"437","Anderson University","46012","Indiana","Madison",329,12,1,2,6,308,"Madison, Indiana"
"438","Indiana University-Purdue Univ at Indianapolis","46202","Indiana","Marion",5519,417,11,255,150,4686,"Marion, Indiana"
"439","Butler University","46208","Indiana","Marion",907,27,3,37,13,827,"Marion, Indiana"
"440","Marian College","46222","Indiana","Marion",639,76,3,9,16,535,"Marion, Indiana"
"441","University of Indianapolis","46227","Indiana","Marion",806,45,2,13,16,730,"Marion, Indiana"
"442","ITT Technical Institute (Indianapolis, IN)","46268","Indiana","Marion",451,74,1,8,31,337,"Marion, Indiana"
"443","Purdue University, Calumet Campus","46323","Indiana","Lake",1712,152,7,67,225,1261,"Lake, Indiana"
"444","Valparaiso University","46383","Indiana","Porter",1214,39,2,24,40,1109,"Porter, Indiana"
"445","Purdue University, North Central Campus","46391","Indiana","La Porte",497,17,5,7,22,446,"La Porte, Indiana"
"446","Indiana University Northwest","46408","Indiana","Lake",659,79,4,32,82,462,"Lake, Indiana"
"447","Goshen College","46526","Indiana","Elkhart",397,10,1,5,20,361,"Elkhart, Indiana"
"448","Bethel College (Mishawaka, IN)","46545","Indiana","St Joseph",385,12,1,4,12,356,"St Joseph, Indiana"
"449","University of Notre Dame","46556","Indiana","St. Joseph",2907,49,6,225,221,2406,"St. Joseph, Indiana"
"450","Indiana University at South Bend","46615","Indiana","St Joseph",728,55,2,16,30,625,"St Joseph, Indiana"
"451","Indiana Institute of Technology","46803","Indiana","Allen",220,11,2,3,4,200,"Allen, Indiana"
"452","Indiana University-Purdue Univ at Fort Wayne","46805","Indiana","Allen",1392,48,4,56,32,1252,"Allen, Indiana"
"453","ITT Technical Institute (Fort Wayne, IN)","46825","Indiana","Allen",102,3,1,2,2,94,"Allen, Indiana"
"454","Indiana University at Kokomo","46902","Indiana","Howard",718,56,2,11,9,640,"Howard, Indiana"
"455","Indiana Wesleyan University","46953","Indiana","Grant",3908,405,13,46,63,3381,"Grant, Indiana"
"456","Manchester College","46962","Indiana","Wabash",236,5,3,3,10,215,"Wabash, Indiana"
"457","Indiana University Southeast","47150","Indiana","Floyd",595,26,3,13,13,540,"Floyd, Indiana"
"458","Hanover College","47243","Indiana","Jefferson",241,2,1,5,3,230,"Jefferson, Indiana"
"459","Ball State University","47306","Indiana","Delaware",2535,60,5,18,57,2395,"Delaware, Indiana"
"460","Earlham College","47374","Indiana","Wayne",234,19,2,5,8,200,"Wayne, Indiana"
"461","Indiana University at Bloomington","47405","Indiana","Monroe",5813,244,13,392,156,5008,"Monroe, Indiana"
"462","Oakland City University","47660","Indiana","Gibson",137,32,1,1,4,99,"Gibson, Indiana"
"463","University of Southern Indiana","47712","Indiana","Vanderburgh",2540,48,5,24,23,2440,"Vanderburgh, Indiana"
"464","Rose-Hulman Institute of Technology","47803","Indiana","Vigo",1912,30,4,83,39,1756,"Vigo, Indiana"
"465","Indiana State University","47809","Indiana","Vigo",1743,125,3,34,27,1554,"Vigo, Indiana"
"466","Purdue University, Main Campus","47907","Indiana","Tippecanoe",14071,323,65,949,371,12363,"Tippecanoe, Indiana"
"467","Wabash College","47933","Indiana","Montgomery",188,6,1,4,8,169,"Montgomery, Indiana"
"468","St Joseph's College (Rensselaer, IN)","47978","Indiana","Jasper",431,16,1,5,11,398,"Jasper, Indiana"
"469","University of Michigan at Ann Arbor","48109","Michigan","Washtenaw",10793,366,26,1789,424,8188,"Washtenaw, Michigan"
"470","University of Michigan at Dearborn","48124","Michigan","Wayne",1549,78,8,173,49,1241,"Wayne, Michigan"
"471","Eastern Michigan University","48197","Michigan","Washtenaw",2774,362,10,95,62,2245,"Washtenaw, Michigan"
"472","Wayne State University","48202","Michigan","Wayne",2996,348,8,466,61,2113,"Wayne, Michigan"
"473","University of Detroit Mercy","48221","Michigan","Wayne",2027,254,29,117,67,1560,"Wayne, Michigan"
"474","Oakland University","48309","Michigan","Oakland",4061,248,18,260,56,3479,"Oakland, Michigan"
"475","University of Michigan at Flint","48503","Michigan","Genesee",1733,120,14,53,48,1498,"Genesee, Michigan"
"476","GMI Engineering and Management Institute","48504","Michigan","Genesee",1513,57,7,72,37,1340,"Genesee, Michigan"
"477","Baker College of Flint","48507","Michigan","Genesee",2217,221,15,50,47,1884,"Genesee, Michigan"
"478","Northwood University","48640","Michigan","Midland",122,22,1,2,5,92,"Midland, Michigan"
"479","Saginaw Valley State University","48710","Michigan","Saginaw",1749,61,7,26,33,1622,"Saginaw, Michigan"
"480","Alma College","48801","Michigan","Gratiot",411,3,1,6,12,389,"Gratiot, Michigan"
"481","Michigan State University","48824","Michigan","Ingham",12890,496,72,826,267,11229,"Ingham, Michigan"
"482","Central Michigan University","48859","Michigan","Isabella",3744,104,27,54,77,3482,"Isabella, Michigan"
"483","Kalamazoo College","49007","Michigan","Kalamazoo",400,18,2,34,14,332,"Kalamazoo, Michigan"
"484","Western Michigan University","49008","Michigan","Kalamazoo",4252,206,19,106,127,3794,"Kalamazoo, Michigan"
"485","Olivet College","49076","Michigan","Eaton",150,4,1,1,4,140,"Eaton, Michigan"
"486","Andrews University","49104","Michigan","Berrien",591,148,2,105,60,276,"Berrien, Michigan"
"487","Adrian College","49221","Michigan","Lenawee",208,3,1,1,5,198,"Lenawee, Michigan"
"488","Siena Heights College","49221","Michigan","Lenawee",1148,106,12,28,36,966,"Lenawee, Michigan"
"489","Albion College","49224","Michigan","Calhoun",458,8,2,19,7,422,"Calhoun, Michigan"
"490","Spring Arbor College","49283","Michigan","Jackson",584,25,1,6,8,544,"Jackson, Michigan"
"491","Ferris State University","49307","Michigan","Mecosta",3734,129,22,82,58,3443,"Mecosta, Michigan"
"492","Grand Valley State University","49401","Michigan","Ottawa",5567,167,28,174,158,5040,"Ottawa, Michigan"
"493","Hope College","49423","Michigan","Allegan",974,16,3,14,12,929,"Allegan, Michigan"
"494","Davenport College","49503","Michigan","Kent",1297,224,2,54,43,974,"Kent, Michigan"
"495","Aquinas College (Grand Rapids, MI)","49506","Michigan","Kent",180,2,1,2,7,168,"Kent, Michigan"
"496","Calvin College","49506","Michigan","Kent",1099,6,1,31,18,1043,"Kent, Michigan"
"497","Lake Superior State University","49783","Michigan","Chippewa",687,5,26,4,5,647,"Chippewa, Michigan"
"498","Northern Michigan University","49855","Michigan","Marquette",1781,11,31,21,13,1705,"Marquette, Michigan"
"499","Michigan Technological University","49931","Michigan","Houghton",4130,47,25,54,63,3941,"Houghton, Michigan"
"500","Iowa State University","50011","Iowa","Story",8278,137,27,268,214,7632,"Story, Iowa"
"501","Grinnell College","50112","Iowa","Poweshiek",388,8,2,35,22,321,"Poweshiek, Iowa"
"502","Simpson College (Indianola, IA)","50125","Iowa","Warren",377,3,2,9,5,358,"Warren, Iowa"
"503","Graceland College","50140","Iowa","Decatur",490,14,2,7,19,448,"Decatur, Iowa"
"504","Central College (Pella, IA)","50219","Iowa","Marion",530,8,1,7,10,504,"Marion, Iowa"
"505","Grand View College","50316","Iowa","Polk",565,28,2,29,13,493,"Polk, Iowa"
"506","University of Northern Iowa","50614","Iowa","Black Hawk",1780,23,4,24,21,1708,"Black Hawk, Iowa"
"507","Wartburg College","50677","Iowa","Bremer",481,6,2,3,4,466,"Bremer, Iowa"
"508","Briar Cliff College","51104","Iowa","Woodbury",348,10,4,5,17,312,"Woodbury, Iowa"
"509","University of Dubuque","52001","Iowa","Dubuque",324,27,5,10,6,276,"Dubuque, Iowa"
"510","Luther College","52101","Iowa","Winneshiek",666,4,3,12,9,638,"Winneshiek, Iowa"
"511","Upper Iowa University","52142","Iowa","Fayette",541,39,2,14,7,479,"Fayette, Iowa"
"512","University of Iowa","52242","Iowa","Johnson",4858,78,10,265,132,4373,"Johnson, Iowa"
"513","Cornell College","52314","Iowa","Linn",329,10,4,11,14,290,"Linn, Iowa"
"514","Mount Mercy College","52402","Iowa","Linn",590,7,1,8,8,566,"Linn, Iowa"
"515","Coe College","52402","Iowa","Linn",299,4,1,3,3,288,"Linn, Iowa"
"516","Maharishi University of Management","52556","Iowa","Jefferson",100,6,1,5,9,79,"Jefferson, Iowa"
"517","Iowa Wesleyan College","52641","Iowa","Henry",216,23,1,3,17,172,"Henry, Iowa"
"518","Mount St Clare College","52732","Iowa","Clinton",3487,1125,30,111,263,1958,"Clinton, Iowa"
"519","St Ambrose University","52803","Iowa","Scott",706,7,4,10,30,655,"Scott, Iowa"
"520","Lakeland College","53082","Wisconsin","Sheboygan",366,10,5,24,5,322,"Sheboygan, Wisconsin"
"521","Concordia University-Wisconsin","53092","Wisconsin","Ozaukee",628,46,1,11,9,561,"Ozaukee, Wisconsin"
"522","University of Wisconsin-Parkside","53141","Wisconsin","Kenosha",465,13,4,33,20,395,"Kenosha, Wisconsin"
"523","Carroll College (Waukesha, WI)","53186","Wisconsin","Waukesha",991,6,1,16,28,940,"Waukesha, Wisconsin"
"524","University of Wisconsin-Whitewater","53190","Wisconsin","Walworth",927,17,4,10,21,875,"Walworth, Wisconsin"
"525","Milwaukee School of Engineering","53201","Wisconsin","Milwaukee",1697,23,10,42,47,1575,"Milwaukee, Wisconsin"
"526","University of Wisconsin-Milwaukee","53201","Wisconsin","Milwaukee",4734,167,18,275,163,4111,"Milwaukee, Wisconsin"
"527","Alverno College","53215","Wisconsin","Milwaukee",850,67,7,48,78,650,"Milwaukee, Wisconsin"
"528","Mount Mary College","53222","Wisconsin","Milwaukee",341,24,2,19,17,279,"Milwaukee, Wisconsin"
"529","Marquette University","53233","Wisconsin","Milwaukee",2964,63,9,157,143,2592,"Milwaukee, Wisconsin"
"530","Beloit College","53511","Wisconsin","Rock",239,8,1,9,12,209,"Rock, Wisconsin"
"531","Herzing College of Technology","53704","Wisconsin","Dane",252,36,1,11,5,199,"Dane, Wisconsin"
"532","University of Wisconsin-Madison","53706","Wisconsin","Dane",11314,175,48,790,264,10037,"Dane, Wisconsin"
"533","Edgewood College","53711","Wisconsin","Dane",596,10,1,13,14,558,"Dane, Wisconsin"
"534","University of Wisconsin-Platteville","53818","Wisconsin","Grant",2831,11,8,32,25,2755,"Grant, Wisconsin"
"535","University of Wisconsin-River Falls","54022","Wisconsin","Pierce",1826,11,4,39,8,1764,"Pierce, Wisconsin"
"536","St Norbert College","54115","Wisconsin","Brown",257,4,1,3,3,246,"Brown, Wisconsin"
"537","Bellin College of Nursing","54305","Wisconsin","Brown",420,2,1,13,4,400,"Brown, Wisconsin"
"538","University of Wisconsin-Green Bay","54311","Wisconsin","Brown",951,10,10,24,10,897,"Brown, Wisconsin"
"539","University of Wisconsin-Stevens Point","54481","Wisconsin","Portage",2780,8,14,58,23,2677,"Portage, Wisconsin"
"540","University of Wisconsin-La Crosse","54601","Wisconsin","La Crosse",2808,14,10,61,31,2692,"La Crosse, Wisconsin"
"541","Viterbo College","54601","Wisconsin","La Crosse",994,17,4,17,11,945,"La Crosse, Wisconsin"
"542","University of Wisconsin-Eau Claire","54701","Wisconsin","Eau Claire",3010,14,16,73,34,2873,"Eau Claire, Wisconsin"
"543","University of Wisconsin-Stout","54751","Wisconsin","Dunn",1604,18,9,27,11,1539,"Dunn, Wisconsin"
"544","Northland College","54806","Wisconsin","Ashland",296,2,2,4,7,281,"Ashland, Wisconsin"
"545","University of Wisconsin-Superior","54880","Wisconsin","Douglas",185,1,3,2,1,178,"Douglas, Wisconsin"
"546","University of Wisconsin-Oshkosh","54901","Wisconsin","Winnebago",2158,17,17,81,28,2015,"Winnebago, Wisconsin"
"547","Lawrence University","54912","Wisconsin","Outagamie",299,7,2,7,5,278,"Outagamie, Wisconsin"
"548","Marian College of Fond Du Lac","54935","Wisconsin","Fond Du Lac",826,24,7,16,17,762,"Fond Du Lac, Wisconsin"
"549","St Olaf College","55057","Minnesota","Rice",1283,14,3,62,14,1190,"Rice, Minnesota"
"550","Metropolitan State University","55101","Minnesota","Ramsey",1158,196,6,117,51,788,"Ramsey, Minnesota"
"551","Macalester College","55105","Minnesota","Ramsey",500,12,2,45,17,424,"Ramsey, Minnesota"
"552","College of St Catherine","55105","Minnesota","Ramsey",1038,86,5,116,24,807,"Ramsey, Minnesota"
"553","University of St Thomas (Saint Paul, MN)","55105","Minnesota","Ramsey",1218,38,3,57,39,1081,"Ramsey, Minnesota"
"554","Bethel College and Seminary, All Campuses","55112","Minnesota","Ramsey",1155,108,1,19,11,1016,"Ramsey, Minnesota"
"555","Northwestern College (St Paul, MN)","55113","Minnesota","Ramsey",243,6,2,6,5,224,"Ramsey, Minnesota"
"556","Walden University","55401","Minnesota","Hennepin",810,163,6,22,36,583,"Hennepin, Minnesota"
"557","Brown Institute","55407","Minnesota","Hennepin",50,3,1,4,1,41,"Hennepin, Minnesota"
"558","Augsburg College","55454","Minnesota","Hennepin",655,48,2,36,12,557,"Hennepin, Minnesota"
"559","University of Minnesota - Twin Cities","55455","Minnesota","Hennepin",11783,482,37,1219,221,9824,"Hennepin, Minnesota"
"560","University of Minnesota, All Campuses","55455","Minnesota","Hennepin",475,7,2,1,6,459,"Hennepin, Minnesota"
"561","College of St Scholastica","55811","Minnesota","St Louis",1809,19,18,25,19,1728,"St Louis, Minnesota"
"562","University of Minnesota - Duluth","55812","Minnesota","St Louis",2916,28,13,72,25,2778,"St Louis, Minnesota"
"563","Winona State University","55987","Minnesota","Winona",2219,63,8,52,27,2069,"Winona, Minnesota"
"564","St Mary's University of Minnesota","55987","Minnesota","Winona",314,44,1,7,5,257,"Winona, Minnesota"
"565","Mankato State University","56001","Minnesota","Blue Earth",2747,116,6,65,50,2510,"Blue Earth, Minnesota"
"566","Gustavus Adolphus College","56082","Minnesota","Nicollet",900,14,3,50,5,828,"Nicollet, Minnesota"
"567","University of Minnesota - Morris","56267","Minnesota","Stevens",398,2,24,9,7,356,"Stevens, Minnesota"
"568","St Cloud State University","56301","Minnesota","Stearns",1832,88,7,48,29,1660,"Stearns, Minnesota"
"569","St John's University (Collegeville, MN)","56321","Minnesota","Stearns",507,8,1,16,7,475,"Stearns, Minnesota"
"570","College of St Benedict","56374","Minnesota","Stearns",755,3,1,13,6,732,"Stearns, Minnesota"
"571","Moorhead State University","56560","Minnesota","Clay",1273,32,7,24,23,1187,"Clay, Minnesota"
"572","Bemidji State University","56601","Minnesota","Beltrami",1003,15,12,7,14,955,"Beltrami, Minnesota"
"573","South Dakota State University","57007","South Dakota","Brookings",4607,22,40,33,26,4486,"Brookings, South Dakota"
"574","Dakota State University","57042","South Dakota","Lake",483,7,7,11,6,452,"Lake, South Dakota"
"575","University of South Dakota","57069","South Dakota","Clay",969,10,2,16,9,932,"Clay, South Dakota"
"576","Mount Marty College","57078","South Dakota","Yankton",239,2,3,1,3,230,"Yankton, South Dakota"
"577","Augustana College (Sioux Falls, SD)","57197","South Dakota","Minnehaha",675,1,1,10,1,662,"Minnehaha, South Dakota"
"578","Northern State University","57401","South Dakota","Brown",122,2,2,1,1,116,"Brown, South Dakota"
"579","South Dakota School of Mines & Technology","57701","South Dakota","Pennington",1089,6,23,15,16,1029,"Pennington, South Dakota"
"580","National College","57701","South Dakota","Pennington",326,38,8,9,21,250,"Pennington, South Dakota"
"581","North Dakota State University, All Campuses","58105","North Dakota","Cass",3581,34,25,55,19,3448,"Cass, North Dakota"
"582","University of North Dakota, All Campuses","58202","North Dakota","Grand Forks",2491,38,76,25,27,2325,"Grand Forks, North Dakota"
"583","Jamestown College","58401","North Dakota","Stutsman",265,2,1,4,1,257,"Stutsman, North Dakota"
"584","Medcenter One College of Nursing","58501","North Dakota","Burleigh",214,5,1,2,2,204,"Burleigh, North Dakota"
"585","University of Mary","58504","North Dakota","Burleigh",645,11,13,5,8,608,"Burleigh, North Dakota"
"586","Dickinson State University","58601","North Dakota","Stark",335,10,7,6,7,305,"Stark, North Dakota"
"587","Minot State University","58701","North Dakota","Ward",450,8,18,11,14,399,"Ward, North Dakota"
"588","Rocky Mountain College","59102","Montana","Yellowstone",214,1,15,2,6,190,"Yellowstone, Montana"
"589","University of Great Falls","59405","Montana","Cascade",250,7,5,11,13,214,"Cascade, Montana"
"590","Montana State University - Northern","59501","Montana","Hill",163,1,17,3,1,141,"Hill, Montana"
"591","Carroll College (Helena, MT)","59625","Montana","Lewis and Clark",536,1,1,5,11,518,"Lewis and Clark, Montana"
"592","Montana Tech of the University of Montana","59701","Montana","Silver Bow",840,2,13,8,17,800,"Silver Bow, Montana"
"593","Montana State University - Bozeman","59717","Montana","Gallatin",3663,13,66,46,58,3480,"Gallatin, Montana"
"594","University of Montana","59812","Montana","Missoula",1535,4,32,20,45,1434,"Missoula, Montana"
"595","Trinity International Univ-Coll of Arts and Sci.","60015","Illinois","Lake",63,3,1,14,3,42,"Lake, Illinois"
"596","Lake Forest College","60045","Illinois","Lake",220,8,2,15,13,182,"Lake, Illinois"
