"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"878","University of La Verne","91750","California","Los Angeles",147,13,1,16,60,57,"Los Angeles, California"
"879","California State Polytechnic University Pomona","91768","California","Los Angeles",4943,157,26,1652,1400,1708,"Los Angeles, California"
"880","University of California-San Diego","92093","California","San Diego",11513,143,41,6853,1088,3388,"San Diego, California"
"881","California State University-San Marcos","92096","California","San Diego",1154,27,11,283,220,613,"San Diego, California"
"882","Point Loma Nazarene College","92106","California","San Diego",713,18,7,60,84,544,"San Diego, California"
"883","University of San Diego","92110","California","San Diego",724,11,5,100,108,500,"San Diego, California"
"884","Loma Linda University","92350","California","San Bernardino",1636,77,8,467,347,737,"San Bernardino, California"
"885","University of Redlands","92373","California","San Bernardino",513,9,3,33,87,381,"San Bernardino, California"
"886","California State University-San Bernardino","92407","California","San Bernardino",2078,194,11,395,723,755,"San Bernardino, California"
"887","California Baptist College","92504","California","Riverside",789,52,7,58,129,543,"Riverside, California"
"888","University of California-Riverside","92521","California","Riverside",4250,238,12,2149,889,962,"Riverside, California"
"889","Southern California College","92626","California","Orange",260,4,1,27,47,181,"Orange, California"
"890","University of California-Santa Barbara","93106","California","Santa Barbara",5139,79,27,1098,777,3158,"Santa Barbara, California"
"891","Westmont College","93108","California","Santa Barbara",379,11,11,56,45,256,"Santa Barbara, California"
"892","California State University-Bakersfield","93311","California","Kern",855,35,7,196,287,330,"Kern, California"
"893","California State Polytechnic U-San Luis Obispo","93407","California","San Luis Obispo",6219,59,53,898,713,4496,"San Luis Obispo, California"
"894","Fresno Pacific College","93702","California","Fresno",191,13,4,18,42,114,"Fresno, California"
"895","California State University-Fresno","93740","California","Fresno",3949,134,34,791,1155,1835,"Fresno, California"
"896","College of Notre Dame","94002","California","San Mateo",103,6,2,26,34,35,"San Mateo, California"
"897","Louise Salinger Academy of Fashion","94105","California","San Francisco",194,18,1,39,56,80,"San Francisco, California"
"898","Golden Gate University","94105","California","San Francisco",43,5,2,7,7,22,"San Francisco, California"
"899","University of San Francisco","94117","California","San Francisco",1368,65,8,518,185,592,"San Francisco, California"
"900","San Francisco State University","94132","California","San Francisco",3517,215,20,1519,555,1208,"San Francisco, California"
"901","Pacific Union College","94508","California","Napa",297,12,1,131,43,110,"Napa, California"
"902","California State University-Hayward","94542","California","Alameda",2220,203,12,998,354,653,"Alameda, California"
"903","St Mary's College of California","94575","California","Contra Costa",221,7,4,37,36,137,"Contra Costa, California"
"904","California Maritime Academy","94590","California","Solano",227,5,2,40,21,159,"Solano, California"
"905","Samuel Merritt College","94609","California","Alameda",1482,72,11,463,149,787,"Alameda, California"
"906","Mills College","94613","California","Alameda",126,16,3,24,33,50,"Alameda, California"
"907","Holy Names College","94619","California","Alameda",106,25,1,24,17,39,"Alameda, California"
"908","University of California-Berkeley","94720","California","Alameda",12226,198,49,7306,956,3717,"Alameda, California"
"909","California State University System Office","94720","California","Alameda",438,13,1,40,110,274,"Alameda, California"
"910","Dominican College of San Rafael","94901","California","Marin",611,33,7,270,85,216,"Marin, California"
"911","Sonoma State University","94928","California","Sonoma",1053,21,8,70,103,851,"Sonoma, California"
"912","Santa Clara University","95053","California","Santa Clara",1015,27,5,276,179,528,"Santa Clara, California"
"913","University of California-Santa Cruz","95064","California","Santa Cruz",5230,109,53,1377,755,2936,"Santa Cruz, California"
