 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Las Animas County, Colorado,159,51,0,0,0,0
Lincoln County, Colorado,1,64,0,0,2,0
Logan County, Colorado,54,222,9,6,0,0
Mesa County, Colorado,467,1377,74,18,27,0
Mineral County, Colorado,0,0,0,0,0,0
Moffat County, Colorado,25,153,0,0,0,0
Montezuma County, Colorado,204,204,0,82,0,0
Montrose County, Colorado,123,541,0,0,0,0
Morgan County, Colorado,207,265,25,0,0,0
Otero County, Colorado,262,163,0,33,0,0
Ouray County, Colorado,0,106,0,0,0,0
Park County, Colorado,27,163,0,0,0,0
Phillips County, Colorado,41,71,0,0,0,0
Pitkin County, Colorado,48,296,5,0,0,0
Prowers County, Colorado,57,88,1,0,0,0
Pueblo County, Colorado,1535,884,124,58,15,0
Rio Blanco County, Colorado,22,17,0,0,0,0
Rio Grande County, Colorado,185,38,0,0,0,0
Routt County, Colorado,45,268,0,0,0,0
Saguache County, Colorado,107,43,0,7,0,0
San Juan County, Colorado,0,0,0,0,0,0
San Miguel County, Colorado,0,31,0,0,0,0
Sedgwick County, Colorado,23,21,0,0,0,0
Summit County, Colorado,0,121,0,0,24,0
Teller County, Colorado,22,342,0,0,0,0
Washington County, Colorado,0,61,4,0,0,0
Weld County, Colorado,1597,1649,67,59,27,0
Yuma County, Colorado,20,69,0,0,0,0
Fairfield County, Connecticut,2902,9896,2263,0,558,26
Hartford County, Connecticut,3132,7423,2852,9,512,6
Litchfield County, Connecticut,186,2736,40,21,72,0
Middlesex County, Connecticut,133,1995,151,0,39,0
New Haven County, Connecticut,2798,6932,2506,30,333,0
New London County, Connecticut,845,2712,326,17,102,0
Tolland County, Connecticut,140,1681,104,0,37,0
Windham County, Connecticut,416,1244,8,0,11,0
Kent County, Delaware,123,1360,399,0,34,0
New Castle County, Delaware,1030,4299,2420,30,182,0
Sussex County, Delaware,175,1480,589,4,0,0
District of Columbia, District of Columbia,1116,548,4973,18,55,0
Alachua County, Florida,124,1028,943,0,84,0
Baker County, Florida,0,276,94,0,0,0
Bay County, Florida,88,1458,300,0,64,0
Bradford County, Florida,34,121,82,0,0,0
Brevard County, Florida,545,4434,1108,0,88,0
Broward County, Florida,7639,8579,10043,28,882,50
Calhoun County, Florida,5,260,59,0,0,0
Charlotte County, Florida,356,1379,229,0,43,0
Citrus County, Florida,231,1069,50,0,21,0
Clay County, Florida,132,2094,384,16,60,0
Collier County, Florida,1893,1984,576,33,103,0
Columbia County, Florida,63,479,168,40,0,0
DeSoto County, Florida,208,315,105,0,0,0
Dixie County, Florida,0,112,11,0,0,0
Duval County, Florida,1054,5238,5320,13,487,19
Escambia County, Florida,129,2195,1283,0,126,9
Flagler County, Florida,258,701,103,0,0,0
Franklin County, Florida,2,74,0,0,0,0
Gadsden County, Florida,51,149,364,0,0,0
Gilchrist County, Florida,18,187,22,0,0,0
Glades County, Florida,9,55,61,4,7,0
Gulf County, Florida,54,141,138,0,0,0
