 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Rapides Parish, Louisiana,18,782,961,0,0,0
Red River Parish, Louisiana,0,39,42,0,0,0
Richland Parish, Louisiana,16,100,121,0,0,0
Sabine Parish, Louisiana,17,163,100,36,0,0
St. Bernard Parish, Louisiana,40,248,132,0,0,0
St. Charles Parish, Louisiana,74,515,273,0,0,0
St. Helena Parish, Louisiana,0,83,108,0,0,0
St. James Parish, Louisiana,15,115,233,0,0,0
St. John the Baptist Parish, Louisiana,0,284,507,0,0,34
St. Landry Parish, Louisiana,1,476,644,0,16,0
St. Martin Parish, Louisiana,13,478,314,0,18,0
St. Mary Parish, Louisiana,12,335,425,11,29,0
St. Tammany Parish, Louisiana,90,2718,545,0,47,0
Tangipahoa Parish, Louisiana,17,835,527,0,4,0
Tensas Parish, Louisiana,0,16,51,0,0,0
Terrebonne Parish, Louisiana,75,873,552,114,27,0
Union Parish, Louisiana,0,51,107,0,0,0
Vermilion Parish, Louisiana,11,425,239,0,0,0
Vernon Parish, Louisiana,114,393,128,3,14,0
Washington Parish, Louisiana,64,373,309,0,0,0
Webster Parish, Louisiana,15,246,136,6,0,0
West Baton Rouge Parish, Louisiana,7,112,92,0,8,0
West Carroll Parish, Louisiana,8,93,8,0,4,0
West Feliciana Parish, Louisiana,10,146,87,0,0,0
Winn Parish, Louisiana,20,59,42,0,0,0
Androscoggin County, Maine,13,1351,49,8,12,0
Aroostook County, Maine,36,1013,33,7,4,0
Cumberland County, Maine,52,3445,247,0,137,0
Franklin County, Maine,9,365,0,12,0,0
Hancock County, Maine,36,467,15,0,0,0
Kennebec County, Maine,96,1498,68,17,96,0
Knox County, Maine,13,381,0,0,0,0
Lincoln County, Maine,17,453,0,5,14,0
Oxford County, Maine,0,671,0,0,9,0
Penobscot County, Maine,42,1812,26,32,18,0
Piscataquis County, Maine,9,210,0,0,0,0
Sagadahoc County, Maine,8,405,0,0,0,0
Somerset County, Maine,0,622,3,0,0,0
Waldo County, Maine,15,407,0,0,0,0
Washington County, Maine,24,366,19,18,0,0
York County, Maine,131,2541,32,12,89,0
Allegany County, Maryland,18,660,172,0,0,0
Anne Arundel County, Maryland,740,4900,1689,11,287,0
Baltimore County, Maryland,480,5529,3363,104,409,11
Calvert County, Maryland,72,1156,344,12,0,0
Caroline County, Maryland,25,391,194,0,7,0
Carroll County, Maryland,76,2350,107,15,39,0
Cecil County, Maryland,104,1016,163,0,28,0
Charles County, Maryland,132,1086,1631,0,89,0
Dorchester County, Maryland,9,239,142,0,0,0
Frederick County, Maryland,323,2694,388,7,124,0
Garrett County, Maryland,10,420,0,0,0,0
Harford County, Maryland,280,2691,644,12,84,0
Howard County, Maryland,556,2976,856,19,713,0
Kent County, Maryland,0,67,32,0,0,0
Montgomery County, Maryland,3338,6362,3387,36,1673,0
Prince George's County, Maryland,1753,676,9935,11,279,0
Queen Anne's County, Maryland,3,700,0,0,7,0
St. Mary's County, Maryland,118,1030,270,22,22,0
Somerset County, Maryland,7,194,208,0,7,0
Talbot County, Maryland,51,286,117,0,12,0
Washington County, Maryland,111,1566,408,10,18,0
Wicomico County, Maryland,10,732,388,0,17,0
Worcester County, Maryland,0,581,175,0,0,0
Baltimore city, Maryland,241,834,7097,186,110,48
Barnstable County, Massachusetts,81,2446,156,0,53,0
Berkshire County, Massachusetts,164,1595,139,2,20,0
Bristol County, Massachusetts,786,6153,359,11,181,10
Dukes County, Massachusetts,0,88,0,0,1,0
Essex County, Massachusetts,2461,7905,651,0,406,0
Franklin County, Massachusetts,76,787,8,0,2,0
Hampden County, Massachusetts,2171,3899,1117,92,213,0
Hampshire County, Massachusetts,228,995,21,0,197,0
Middlesex County, Massachusetts,1814,13200,1627,25,1988,0
Nantucket County, Massachusetts,0,93,2,0,11,0
Norfolk County, Massachusetts,555,6861,1220,0,758,0
Plymouth County, Massachusetts,265,5799,811,16,91,0
Suffolk County, Massachusetts,2855,1256,3639,61,401,0
Worcester County, Massachusetts,1950,8208,680,83,380,0
Alcona County, Michigan,2,102,0,0,0,0
Alger County, Michigan,0,146,15,0,0,0
Allegan County, Michigan,133,1390,23,0,0,0
Alpena County, Michigan,1,341,8,0,0,0
Antrim County, Michigan,11,311,2,3,0,0
Arenac County, Michigan,7,178,0,0,0,0
Baraga County, Michigan,0,105,0,27,0,0
Barry County, Michigan,1,870,3,10,0,0
Bay County, Michigan,61,1374,44,0,23,0
Benzie County, Michigan,0,255,1,0,0,0
Berrien County, Michigan,56,1343,445,27,20,0
Branch County, Michigan,36,655,98,0,12,0
Calhoun County, Michigan,118,1148,324,0,14,0
Cass County, Michigan,68,745,135,11,45,0
Charlevoix County, Michigan,9,287,0,0,7,0
Cheboygan County, Michigan,0,248,0,13,0,0
Chippewa County, Michigan,37,385,74,82,16,0
Clare County, Michigan,11,352,0,9,0,0
Clinton County, Michigan,69,1106,52,0,27,0
Crawford County, Michigan,0,199,4,0,0,0
Delta County, Michigan,12,448,9,14,0,0
Dickinson County, Michigan,0,479,1,0,0,0
Eaton County, Michigan,79,1366,124,3,10,0
Emmet County, Michigan,7,394,1,19,0,0
Genesee County, Michigan,306,3771,1840,73,83,0
Gladwin County, Michigan,7,295,0,2,0,0
Gogebic County, Michigan,5,116,15,0,0,0
Grand Traverse County, Michigan,75,1275,33,0,29,0
Gratiot County, Michigan,49,445,46,2,0,0
Hillsdale County, Michigan,7,613,30,0,0,0
Houghton County, Michigan,25,367,0,0,6,0
Huron County, Michigan,3,339,5,0,0,0
Ingham County, Michigan,350,1948,620,47,132,0
Ionia County, Michigan,46,961,112,0,3,0
Iosco County, Michigan,0,250,0,15,0,0
Iron County, Michigan,0,155,0,0,0,0
Isabella County, Michigan,68,588,21,15,3,0
Jackson County, Michigan,125,1977,247,41,0,0
Kalamazoo County, Michigan,182,1675,760,24,32,0
Kalkaska County, Michigan,2,251,0,4,11,0
Kent County, Michigan,1147,5352,1249,0,217,0
Keweenaw County, Michigan,0,19,10,0,0,0
Lake County, Michigan,24,64,64,2,0,0
Lapeer County, Michigan,42,1211,21,0,0,0
Leelanau County, Michigan,5,287,4,13,0,0
Lenawee County, Michigan,193,1225,85,19,0,0
Livingston County, Michigan,138,2812,32,0,39,0
Luce County, Michigan,43,47,78,12,0,0
Mackinac County, Michigan,2,59,10,69,2,0
Macomb County, Michigan,501,9290,1682,44,329,0
Manistee County, Michigan,6,246,37,0,0,0
Marquette County, Michigan,5,827,12,14,11,0
Mason County, Michigan,24,289,12,0,0,0
Mecosta County, Michigan,2,442,28,0,0,0
Menominee County, Michigan,0,327,0,5,0,0
Midland County, Michigan,38,1008,20,3,93,0
Missaukee County, Michigan,2,173,0,0,0,0
Monroe County, Michigan,85,2124,101,12,9,0
Montcalm County, Michigan,52,863,48,0,0,0
Montmorency County, Michigan,3,69,0,0,0,0
Muskegon County, Michigan,253,1822,663,16,25,0
Newaygo County, Michigan,33,680,9,4,0,0
Oakland County, Michigan,851,12605,3109,108,898,0
Oceana County, Michigan,69,219,7,0,4,0
Ogemaw County, Michigan,33,283,0,0,11,0
Ontonagon County, Michigan,4,49,7,0,0,0
Osceola County, Michigan,5,263,15,0,2,0
Oscoda County, Michigan,0,48,0,0,0,0
Otsego County, Michigan,0,333,0,0,0,0
Ottawa County, Michigan,351,2951,60,28,112,0
Presque Isle County, Michigan,10,136,7,0,0,0
Roscommon County, Michigan,0,181,10,0,22,0
Saginaw County, Michigan,165,1912,902,5,27,0
St. Clair County, Michigan,132,2472,53,8,7,12
St. Joseph County, Michigan,122,765,31,0,22,0
Sanilac County, Michigan,12,467,0,0,0,0
Schoolcraft County, Michigan,0,106,0,5,8,0
Shiawassee County, Michigan,21,1030,12,0,0,0
Tuscola County, Michigan,36,907,30,6,0,0
Van Buren County, Michigan,193,956,92,6,0,0
Washtenaw County, Michigan,345,2749,737,84,194,0
Wayne County, Michigan,2002,12451,15428,50,590,24
Wexford County, Michigan,0,371,0,3,0,0
Aitkin County, Minnesota,0,200,0,11,1,0
Anoka County, Minnesota,226,4737,375,54,279,0
Becker County, Minnesota,20,346,0,55,5,0
Beltrami County, Minnesota,49,361,20,188,3,0
Benton County, Minnesota,10,426,100,0,0,0
Big Stone County, Minnesota,0,47,0,0,0,0
Blue Earth County, Minnesota,33,526,22,0,3,0
Brown County, Minnesota,20,352,1,0,0,0
Carlton County, Minnesota,10,443,38,46,2,0
Carver County, Minnesota,73,1357,1,0,60,0
Cass County, Minnesota,8,201,2,25,0,0
Chippewa County, Minnesota,0,195,2,0,2,5
Chisago County, Minnesota,9,933,37,0,2,0
Clay County, Minnesota,54,592,1,19,0,0
Clearwater County, Minnesota,0,102,0,8,1,0
Cook County, Minnesota,0,46,1,2,0,0
Cottonwood County, Minnesota,49,189,0,0,7,0
Crow Wing County, Minnesota,0,866,22,72,8,0
Dakota County, Minnesota,548,5081,374,29,236,0
Dodge County, Minnesota,11,337,0,0,0,0
Douglas County, Minnesota,15,415,8,1,0,0
Faribault County, Minnesota,13,170,0,0,0,0
Fillmore County, Minnesota,0,291,0,0,0,0
Freeborn County, Minnesota,69,361,29,0,4,0
Goodhue County, Minnesota,90,644,17,5,6,0
Grant County, Minnesota,2,89,0,0,0,0
Hennepin County, Minnesota,1748,8829,3567,220,1233,62
Houston County, Minnesota,16,306,4,0,3,0
Hubbard County, Minnesota,16,273,4,0,0,0
Isanti County, Minnesota,55,577,0,2,10,0
Itasca County, Minnesota,8,586,12,23,0,0
Jackson County, Minnesota,1,128,0,0,4,0
Kanabec County, Minnesota,11,246,4,1,0,0
Kandiyohi County, Minnesota,45,357,30,0,3,0
Kittson County, Minnesota,2,56,0,0,0,0
Koochiching County, Minnesota,0,199,7,0,0,0
Lac qui Parle County, Minnesota,0,100,0,0,0,0
Lake County, Minnesota,0,142,0,0,0,0
Lake of the Woods County, Minnesota,0,27,0,0,0,0
Le Sueur County, Minnesota,22,363,14,4,1,0
Lincoln County, Minnesota,3,66,4,0,2,0
Lyon County, Minnesota,41,237,3,0,50,0
McLeod County, Minnesota,32,519,0,0,0,0
Mahnomen County, Minnesota,6,15,0,71,0,0
Marshall County, Minnesota,2,120,1,0,0,0
Martin County, Minnesota,37,272,1,0,0,0
Meeker County, Minnesota,0,365,0,0,0,0
Mille Lacs County, Minnesota,4,434,1,25,0,0
Morrison County, Minnesota,5,444,19,0,2,0
Mower County, Minnesota,55,562,43,3,0,0
Murray County, Minnesota,5,116,7,1,3,0
Nicollet County, Minnesota,14,375,54,0,0,0
Nobles County, Minnesota,33,187,101,0,2,0
Norman County, Minnesota,9,121,1,0,0,0
Olmsted County, Minnesota,187,1399,184,0,74,0
Otter Tail County, Minnesota,33,779,24,0,5,0
Pennington County, Minnesota,8,159,16,0,0,0
Pine County, Minnesota,22,324,16,4,0,0
Pipestone County, Minnesota,3,156,0,0,0,0
Polk County, Minnesota,91,468,4,0,0,0
Pope County, Minnesota,2,177,2,1,0,0
Ramsey County, Minnesota,771,3504,1554,55,1532,0
Red Lake County, Minnesota,3,49,0,0,0,0
Redwood County, Minnesota,0,173,7,38,7,0
Renville County, Minnesota,21,218,2,0,3,0
Rice County, Minnesota,77,646,75,8,27,0
Rock County, Minnesota,10,130,8,0,0,0
Roseau County, Minnesota,9,262,7,0,0,0
St. Louis County, Minnesota,43,2028,104,44,15,0
Scott County, Minnesota,113,1688,97,47,111,0
Sherburne County, Minnesota,42,1535,144,23,36,0
Sibley County, Minnesota,22,210,0,0,3,0
Stearns County, Minnesota,57,1582,262,16,86,0
Steele County, Minnesota,27,411,56,0,1,0
Stevens County, Minnesota,5,249,0,0,0,0
Swift County, Minnesota,18,139,2,2,0,0
Todd County, Minnesota,71,376,2,0,20,0
Traverse County, Minnesota,3,28,0,0,0,0
Wabasha County, Minnesota,0,259,0,4,4,0
Wadena County, Minnesota,15,249,3,0,0,0
Waseca County, Minnesota,3,264,30,0,0,0
Washington County, Minnesota,213,3729,112,21,332,0
Watonwan County, Minnesota,34,115,3,0,0,0
Wilkin County, Minnesota,0,86,1,1,0,0
Winona County, Minnesota,17,458,2,0,14,0
Wright County, Minnesota,73,1517,68,18,9,0
Yellow Medicine County, Minnesota,2,174,0,0,0,0
Adams County, Mississippi,0,27,404,0,0,0
Alcorn County, Mississippi,0,285,85,0,0,0
Amite County, Mississippi,0,53,122,0,0,0
Attala County, Mississippi,0,125,118,0,0,0
Benton County, Mississippi,0,97,13,0,0,0
Bolivar County, Mississippi,0,12,349,0,0,0
Calhoun County, Mississippi,5,90,62,0,0,0
Carroll County, Mississippi,0,61,201,0,0,0
Chickasaw County, Mississippi,0,65,117,2,0,0
Choctaw County, Mississippi,0,52,6,0,0,0
Claiborne County, Mississippi,0,35,189,1,0,0
Clarke County, Mississippi,0,190,110,0,0,0
Clay County, Mississippi,0,87,280,0,20,0
Coahoma County, Mississippi,0,42,235,0,0,0
Copiah County, Mississippi,41,175,316,0,0,0
Covington County, Mississippi,0,196,127,0,0,0
DeSoto County, Mississippi,251,1585,694,0,14,0
Forrest County, Mississippi,24,489,336,0,0,0
Franklin County, Mississippi,0,87,36,0,0,0
George County, Mississippi,0,217,52,0,0,0
Greene County, Mississippi,11,66,23,0,0,0
Grenada County, Mississippi,0,241,244,47,0,0
Hancock County, Mississippi,10,496,53,0,0,0
Harrison County, Mississippi,236,1686,762,8,77,0
Hinds County, Mississippi,60,512,3068,0,64,0
Holmes County, Mississippi,6,25,372,0,0,0
Humphreys County, Mississippi,0,0,151,0,0,0
Issaquena County, Mississippi,0,0,24,0,0,0
Itawamba County, Mississippi,0,242,15,0,5,0
Jackson County, Mississippi,0,1319,651,0,44,0
Jasper County, Mississippi,0,72,164,0,0,0
Jefferson County, Mississippi,0,0,272,0,0,0
Jefferson Davis County, Mississippi,0,39,124,0,0,0
Jones County, Mississippi,0,443,398,0,0,0
Kemper County, Mississippi,0,9,144,0,0,0
Lafayette County, Mississippi,10,336,236,0,52,0
Lamar County, Mississippi,0,559,136,15,0,0
Lauderdale County, Mississippi,85,621,715,0,0,0
Lawrence County, Mississippi,0,61,109,0,0,0
Leake County, Mississippi,0,97,84,7,0,0
Lee County, Mississippi,7,608,263,0,0,0
Leflore County, Mississippi,0,113,710,0,0,0
Lincoln County, Mississippi,0,276,117,17,0,0
Lowndes County, Mississippi,4,306,392,5,0,0
Madison County, Mississippi,8,846,591,0,0,0
Marion County, Mississippi,0,122,136,0,0,0
Marshall County, Mississippi,0,111,204,0,5,0
Monroe County, Mississippi,0,198,243,0,0,0
Montgomery County, Mississippi,0,57,61,0,0,0
Neshoba County, Mississippi,8,191,86,90,0,0
Newton County, Mississippi,0,180,76,0,0,0
Noxubee County, Mississippi,0,0,135,0,0,0
Oktibbeha County, Mississippi,0,187,282,0,0,0
Panola County, Mississippi,0,129,277,0,0,0
Pearl River County, Mississippi,0,446,214,0,0,0
Perry County, Mississippi,0,179,73,0,0,0
Pike County, Mississippi,0,202,306,0,0,0
Pontotoc County, Mississippi,46,204,57,0,0,0
Prentiss County, Mississippi,0,195,187,0,0,0
Quitman County, Mississippi,0,30,90,0,0,0
Rankin County, Mississippi,19,1316,399,2,0,0
Scott County, Mississippi,3,232,248,0,0,0
Sharkey County, Mississippi,0,3,100,0,0,0
Simpson County, Mississippi,0,72,291,0,0,0
Smith County, Mississippi,0,116,49,0,0,0
Stone County, Mississippi,0,232,92,0,0,0
Sunflower County, Mississippi,24,43,463,0,0,0
Tallahatchie County, Mississippi,142,61,184,0,14,0
Tate County, Mississippi,0,313,107,0,0,0
Tippah County, Mississippi,63,154,48,0,0,0
Tishomingo County, Mississippi,50,226,3,0,0,0
Tunica County, Mississippi,0,4,77,0,0,0
Union County, Mississippi,0,320,43,11,0,0
Walthall County, Mississippi,0,63,100,0,0,0
Warren County, Mississippi,0,203,325,0,0,0
Washington County, Mississippi,0,121,700,0,0,0
Wayne County, Mississippi,0,55,95,0,0,0
Webster County, Mississippi,7,34,41,0,0,0
Wilkinson County, Mississippi,0,3,51,0,0,0
Winston County, Mississippi,4,106,163,0,0,0
Yalobusha County, Mississippi,0,174,155,0,0,0
Yazoo County, Mississippi,17,81,375,0,0,0
Adair County, Missouri,0,282,1,0,0,0
Andrew County, Missouri,0,230,0,0,0,0
Atchison County, Missouri,5,79,0,0,0,0
Audrain County, Missouri,0,357,39,7,0,0
Barry County, Missouri,59,248,0,1,26,0
Barton County, Missouri,5,117,0,5,15,0
Bates County, Missouri,0,210,0,0,0,0
Benton County, Missouri,39,186,0,0,0,0
Bollinger County, Missouri,12,248,0,0,0,0
Boone County, Missouri,90,1126,166,0,33,0
Buchanan County, Missouri,124,1178,187,0,14,0
Butler County, Missouri,0,360,36,0,0,0
Caldwell County, Missouri,0,201,0,0,0,0
Callaway County, Missouri,27,568,23,0,10,0
Camden County, Missouri,0,415,0,0,0,0
Cape Girardeau County, Missouri,20,643,121,0,26,0
Carroll County, Missouri,0,168,0,0,0,0
Carter County, Missouri,0,63,0,0,0,0
Cass County, Missouri,172,1218,92,3,0,0
Cedar County, Missouri,0,197,0,0,5,0
Chariton County, Missouri,0,118,0,0,0,0
Christian County, Missouri,32,890,17,11,0,0
Clark County, Missouri,15,108,1,0,0,0
Clay County, Missouri,192,2363,206,0,45,0
Clinton County, Missouri,0,296,0,0,0,0
Cole County, Missouri,15,818,181,11,0,0
Cooper County, Missouri,0,227,63,0,0,0
Crawford County, Missouri,15,279,0,0,0,0
Dade County, Missouri,0,98,0,0,0,0
Dallas County, Missouri,14,229,0,0,0,0
Daviess County, Missouri,2,109,0,0,0,0
DeKalb County, Missouri,14,199,94,9,27,0
Dent County, Missouri,0,167,0,0,0,0
Douglas County, Missouri,0,231,0,0,0,0
Dunklin County, Missouri,35,419,86,0,0,0
Franklin County, Missouri,54,1354,25,0,1,21
Gasconade County, Missouri,0,215,0,0,0,0
Gentry County, Missouri,0,60,0,0,0,0
Greene County, Missouri,61,2073,116,62,0,8
Grundy County, Missouri,0,72,0,0,0,0
Harrison County, Missouri,0,110,0,0,0,0
Henry County, Missouri,0,290,12,0,0,0
Hickory County, Missouri,0,171,0,0,0,0
Holt County, Missouri,0,26,0,0,1,0
Howard County, Missouri,5,93,0,0,0,0
Howell County, Missouri,6,389,0,0,11,0
Iron County, Missouri,5,141,0,3,0,0
Jackson County, Missouri,584,4072,2692,0,132,57
Jasper County, Missouri,89,1076,124,17,0,0
Jefferson County, Missouri,104,2562,35,12,18,0
Johnson County, Missouri,6,410,70,0,0,8
Knox County, Missouri,0,27,0,0,0,0
Laclede County, Missouri,0,570,0,0,0,0
Lafayette County, Missouri,0,473,18,0,0,0
Lawrence County, Missouri,79,526,22,25,23,0
Lewis County, Missouri,0,28,0,0,0,0
Lincoln County, Missouri,29,841,0,0,0,0
Linn County, Missouri,11,127,0,0,0,0
Livingston County, Missouri,10,165,0,8,0,0
McDonald County, Missouri,26,229,0,35,16,21
Macon County, Missouri,1,120,11,28,0,0
Madison County, Missouri,0,305,2,0,0,4
Maries County, Missouri,0,112,0,0,0,0
Marion County, Missouri,1,309,13,10,0,0
Mercer County, Missouri,0,46,1,0,0,0
Miller County, Missouri,3,289,4,0,19,0
Mississippi County, Missouri,0,70,143,0,0,0
Moniteau County, Missouri,0,159,12,0,2,0
Monroe County, Missouri,0,126,33,0,0,0
Montgomery County, Missouri,0,176,4,0,0,0
Morgan County, Missouri,17,222,2,0,0,0
New Madrid County, Missouri,9,156,76,0,0,0
Newton County, Missouri,78,574,5,31,36,0
Nodaway County, Missouri,47,204,67,20,0,0
Oregon County, Missouri,0,220,0,0,0,0
Osage County, Missouri,0,204,0,0,0,0
Ozark County, Missouri,0,94,0,0,0,0
Pemiscot County, Missouri,0,151,116,0,0,0
Perry County, Missouri,0,280,0,0,0,0
Pettis County, Missouri,56,465,14,0,0,21
Phelps County, Missouri,0,530,0,0,28,0
Pike County, Missouri,10,175,53,0,0,0
Platte County, Missouri,78,998,4,0,24,0
Polk County, Missouri,25,535,0,0,0,0
Pulaski County, Missouri,82,729,107,42,52,7
Putnam County, Missouri,0,53,0,0,0,0
Ralls County, Missouri,0,111,0,0,0,0
Randolph County, Missouri,23,292,30,0,0,0
Ray County, Missouri,0,284,5,0,0,0
Reynolds County, Missouri,0,62,0,0,0,0
Ripley County, Missouri,0,139,0,0,0,0
St. Charles County, Missouri,173,4479,308,0,42,0
St. Clair County, Missouri,0,98,0,0,0,0
Ste. Genevieve County, Missouri,11,245,16,0,0,0
St. Francois County, Missouri,83,1023,249,4,0,0
St. Louis County, Missouri,253,8441,5496,19,380,0
Saline County, Missouri,33,192,17,0,0,0
Schuyler County, Missouri,0,69,0,0,0,0
Scotland County, Missouri,0,44,0,0,0,0
Scott County, Missouri,47,442,53,0,0,0
Shannon County, Missouri,0,68,0,0,0,0
Shelby County, Missouri,0,100,3,0,0,0
Stoddard County, Missouri,0,341,5,0,0,0
Stone County, Missouri,0,407,0,9,0,0
Sullivan County, Missouri,0,98,0,0,0,0
Taney County, Missouri,55,677,1,0,0,0
Texas County, Missouri,39,375,29,9,1,0
Vernon County, Missouri,4,242,2,3,0,0
Warren County, Missouri,0,429,33,0,0,0
Washington County, Missouri,0,300,0,0,0,0
Wayne County, Missouri,0,125,0,0,0,0
Webster County, Missouri,21,456,52,0,0,0
Worth County, Missouri,0,11,0,0,0,0
Wright County, Missouri,9,331,0,0,2,0
St. Louis city, Missouri,78,792,3351,13,50,0
Beaverhead County, Montana,0,78,0,0,0,0
Big Horn County, Montana,30,27,0,124,0,0
Blaine County, Montana,1,54,0,48,5,0
Broadwater County, Montana,0,87,0,0,0,0
Carbon County, Montana,3,109,0,0,0,0
Carter County, Montana,0,20,0,0,0,0
Cascade County, Montana,106,868,2,72,0,0
Chouteau County, Montana,0,64,0,6,0,0
Custer County, Montana,0,184,0,0,0,0
Daniels County, Montana,0,5,0,0,0,0
Dawson County, Montana,0,69,0,0,0,0
Deer Lodge County, Montana,18,214,0,0,0,0
Fallon County, Montana,0,9,0,0,0,0
Fergus County, Montana,0,161,0,0,0,0
Flathead County, Montana,108,1048,10,35,11,0
Gallatin County, Montana,57,674,0,19,51,0
Garfield County, Montana,0,8,0,0,0,0
Glacier County, Montana,28,14,0,206,0,0
Golden Valley County, Montana,0,10,0,0,0,0
Granite County, Montana,13,16,0,0,0,0
Hill County, Montana,50,104,0,67,0,0
Jefferson County, Montana,0,86,0,0,0,0
Judith Basin County, Montana,0,25,0,0,0,0
Lake County, Montana,34,204,0,174,0,0
Lewis and Clark County, Montana,65,639,35,67,0,0
Liberty County, Montana,0,14,0,0,0,0
Lincoln County, Montana,29,216,0,1,0,0
McCone County, Montana,0,21,0,0,0,0
Madison County, Montana,0,76,0,0,0,0
Meagher County, Montana,0,20,0,0,0,0
Mineral County, Montana,0,133,0,1,0,0
Missoula County, Montana,68,1254,0,27,0,0
Musselshell County, Montana,0,51,0,0,0,0
Park County, Montana,2,160,0,1,0,0
Petroleum County, Montana,0,3,0,0,0,0
Phillips County, Montana,0,79,0,13,0,0
Pondera County, Montana,0,95,0,32,0,0
Powder River County, Montana,0,13,0,0,0,0
Powell County, Montana,11,110,2,1,0,0
Prairie County, Montana,0,6,0,0,0,0
Ravalli County, Montana,10,416,0,0,0,0
Richland County, Montana,26,114,0,0,0,0
Roosevelt County, Montana,3,53,0,62,0,0
Rosebud County, Montana,0,69,0,48,0,0
Sanders County, Montana,20,94,0,7,0,0
Sheridan County, Montana,1,49,0,0,0,0
Silver Bow County, Montana,30,251,0,7,0,0
Stillwater County, Montana,0,121,5,0,0,0
Sweet Grass County, Montana,0,111,0,0,0,0
Teton County, Montana,0,83,0,0,0,0
Toole County, Montana,0,78,4,9,0,0
Treasure County, Montana,0,14,0,0,0,0
Valley County, Montana,0,94,2,6,4,0
Wheatland County, Montana,0,41,0,0,0,0
Wibaux County, Montana,0,0,0,0,0,0
Yellowstone County, Montana,158,1455,0,114,12,0
Adams County, Nebraska,32,296,0,0,40,2
Antelope County, Nebraska,0,72,0,0,0,0
Arthur County, Nebraska,0,7,0,0,0,0
Banner County, Nebraska,4,10,0,0,0,0
Blaine County, Nebraska,0,11,0,0,0,0
Boone County, Nebraska,8,114,0,0,0,0
Box Butte County, Nebraska,84,76,0,70,0,0
Boyd County, Nebraska,0,21,0,0,0,0
Brown County, Nebraska,0,25,0,0,0,0
Buffalo County, Nebraska,65,427,22,0,0,0
Burt County, Nebraska,3,138,0,9,0,0
Butler County, Nebraska,0,148,0,0,0,0
Cass County, Nebraska,32,460,0,0,7,0
Cedar County, Nebraska,0,166,0,0,2,0
Chase County, Nebraska,7,37,0,0,0,0
Cherry County, Nebraska,0,48,0,0,0,0
Cheyenne County, Nebraska,8,106,0,0,10,0
Clay County, Nebraska,9,97,0,2,0,0
Colfax County, Nebraska,95,98,0,0,0,0
Cuming County, Nebraska,1,127,0,7,0,0
Custer County, Nebraska,6,156,8,0,0,0
Dakota County, Nebraska,207,170,10,0,9,0
Dawes County, Nebraska,11,85,14,0,0,0
Dawson County, Nebraska,232,256,0,18,0,0
Deuel County, Nebraska,0,29,0,0,0,0
Dixon County, Nebraska,26,78,0,0,0,5
Dodge County, Nebraska,56,362,9,7,11,0
Douglas County, Nebraska,1090,4874,1354,71,206,0
Dundy County, Nebraska,13,8,0,0,0,0
Fillmore County, Nebraska,22,69,0,0,0,0
Franklin County, Nebraska,0,29,0,0,0,0
Frontier County, Nebraska,0,15,0,0,0,0
Furnas County, Nebraska,0,37,0,7,0,0
Gage County, Nebraska,19,318,2,0,11,0
Garden County, Nebraska,0,11,0,0,0,0
Garfield County, Nebraska,0,18,0,0,0,0
Gosper County, Nebraska,0,78,0,0,0,0
Grant County, Nebraska,0,6,0,0,0,0
Greeley County, Nebraska,0,41,0,0,0,0
Hall County, Nebraska,412,457,89,31,0,0
Hamilton County, Nebraska,0,203,0,0,0,0
Harlan County, Nebraska,11,43,0,0,0,0
Hayes County, Nebraska,3,10,0,0,0,0
Hitchcock County, Nebraska,0,35,0,0,0,0
Holt County, Nebraska,0,187,0,5,0,0
Hooker County, Nebraska,0,5,0,0,0,0
Howard County, Nebraska,4,83,0,0,0,0
Jefferson County, Nebraska,18,102,0,0,0,0
Johnson County, Nebraska,44,35,0,32,0,0
Kearney County, Nebraska,0,63,0,0,0,0
Keith County, Nebraska,0,77,0,0,2,0
Keya Paha County, Nebraska,0,7,0,0,1,0
Kimball County, Nebraska,4,39,0,0,0,0
Knox County, Nebraska,0,111,6,14,1,0
Lancaster County, Nebraska,355,2239,221,143,197,2
Lincoln County, Nebraska,97,433,16,0,14,0
Logan County, Nebraska,0,2,0,0,0,0
Loup County, Nebraska,13,10,0,0,0,0
McPherson County, Nebraska,0,1,0,0,0,0
Madison County, Nebraska,65,419,0,3,0,0
Merrick County, Nebraska,0,117,0,0,0,0
Morrill County, Nebraska,5,53,0,0,0,0
Nance County, Nebraska,0,39,0,0,0,0
Nemaha County, Nebraska,0,138,0,0,0,0
Nuckolls County, Nebraska,0,47,0,0,0,0
Otoe County, Nebraska,10,191,0,0,0,0
Pawnee County, Nebraska,1,16,0,0,0,0
Perkins County, Nebraska,0,41,0,0,0,0
Phelps County, Nebraska,9,150,0,0,0,0
Pierce County, Nebraska,4,82,0,0,0,0
Platte County, Nebraska,113,303,1,0,16,0
Polk County, Nebraska,0,91,0,0,0,0
Red Willow County, Nebraska,17,172,3,5,11,0
Richardson County, Nebraska,0,115,0,2,0,0
Rock County, Nebraska,0,12,0,0,0,0
Saline County, Nebraska,26,190,0,0,3,0
Sarpy County, Nebraska,250,1835,26,18,80,23
