"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"534","Mount Mercy College","Cedar Rapids","Iowa","52402",590,7,1,8,8,566
"1063","Wellesley College","Wellesley","Massachusetts","2181",587,18,2,207,36,324
"427","Le Moyne College","Syracuse","New York","13214",585,15,2,14,13,541
"741","Spring Arbor College","Spring Arbor","Michigan","49283",584,25,1,6,8,544
"260","Eastern Mennonite University","Harrisonburg","Virginia","22801",577,22,2,5,12,536
"433","Lewis-Clark State College","Lewiston","Idaho","83501",577,5,5,8,22,537
"130","Carlow College","Pittsburgh","Pennsylvania","15213",575,42,4,9,6,514
"167","Colby College","Waterville","Maine","4901",573,6,1,40,17,509
"653","Regis College (Weston, MA)","","","",573,66,1,40,37,429
"588","Occidental College","Los Angeles","California","90041",569,19,6,117,78,349
"195","Columbia College (Chicago, IL)","Chicago","Illinois","60605",568,38,1,14,52,463
"322","Grand View College","Des Moines","Iowa","50316",565,28,2,29,13,493
"713","South College (Savannah, GA)","Savannah","Georgia","31406",564,121,4,10,27,402
"968","University of Puget Sound","Tacoma","Washington","98416",564,10,12,82,19,441
"847","United States Coast Guard Academy","New London","Connecticut","6320",560,14,3,22,39,482
"168","Coleman College","La Mesa","California","92042",559,53,2,93,95,316
"257","Eastern Connecticut State University","Willimantic","Connecticut","6226",558,22,5,18,33,480
"819","Texas A&M University at Galveston","Galveston","Texas","77553",557,14,7,11,67,458
"288","Fordham University (Bronx, NY)","","","",556,31,2,62,87,374
"47","Baker University","Baldwin City","Kansas","66006",555,37,9,11,12,486
"213","Cumberland University","Lebanon","Tennessee","37087",555,44,3,12,8,488
"473","Marist College","Poughkeepsie","New York","12601",554,12,1,20,29,492
"1040","Vassar College","Poughkeepsie","New York","12601",552,26,1,71,40,414
"1073","Westark Community College","Fort Smith","Arkansas","72913",552,16,22,49,21,444
"77","Biola University","La Mirada","California","90639",551,10,6,86,64,385
"633","Pomona College","Claremont","California","91711",549,22,3,122,63,339
"424","Lander University","Greenwood","South Carolina","29649",546,99,1,7,4,435
"1080","Western New England College","Springfield","Massachusetts","1119",546,14,1,22,9,500
"459","Lynchburg College","Lynchburg","Virginia","24501",545,37,3,9,9,487
"89","Brenau University","Gainesville","Georgia","30501",544,135,1,18,23,367
"1068","West Suburban College of Nursing","Oak Park","Illinois","60302",544,61,1,127,60,295
"583","Norwich University","Northfield","Vermont","5663",542,5,1,14,18,504
